layer,avg_top1_vs_topk
1,0.9978818690776825
2,0.7928759080171585
3,0.9668341362476349
4,0.9404245352745056
5,0.9991982841491699
6,0.998842681646347
7,0.9979550552368164
8,0.9976250100135803
9,0.9980324339866639
10,0.9977843570709228
11,0.997787823677063
12,0.9976523172855377
13,0.9957448196411133
14,0.9931898152828217
15,0.9967766916751861
16,0.9961672246456146
17,0.9955354106426239
18,0.9970843064785003
19,0.9970777523517609
20,0.9969027924537659
21,0.9978459346294403
22,0.9994633853435516
23,0.996028196811676
24,0.9973869466781616
25,0.9942447507381439
26,0.999438087940216
27,0.9900183022022248
