layer,avg_top1_vs_topk
1,0.9993907988071442
2,0.9991424691677093
3,0.9774780178070068
4,0.9768424379825592
5,0.9992178380489349
6,0.9984888732433319
7,0.9991873264312744
8,0.9986163699626922
9,0.9974460434913636
10,0.9985680770874024
11,0.9986588561534882
12,0.9985876953601838
13,0.9951542687416076
14,0.9899706816673279
15,0.9958257508277893
16,0.9968047428131104
17,0.9953391122817993
18,0.9958427369594574
19,0.9920534932613373
20,0.9985315883159638
21,0.9983519721031189
22,0.9983519983291625
23,0.9975195109844208
24,0.9988062965869904
25,0.9894366085529327
26,0.9822561518847942
27,0.9901079463958741
