layer,avg_top1_vs_topk
1,0.9486328957229853
2,0.9990118026733399
3,0.9714032971858978
4,0.9598226273059844
5,0.997672404050827
6,0.997853637933731
7,0.9990872120857239
8,0.9980893063545228
9,0.9988748443126678
10,0.9989552438259125
11,0.9983259153366089
12,0.9973625373840332
13,0.9961871063709259
14,0.9976931202411652
15,0.9980385398864746
16,0.9939394354820251
17,0.9978065931797028
18,0.9976238775253295
19,0.9978383696079254
20,0.9962131035327911
21,0.9968758344650268
22,0.9972089695930481
23,0.9982919800281524
24,0.9951514804363251
25,0.9962468373775483
26,0.665001148879528
27,0.8509879350662232
