layer,avg_top1_vs_topk
1,0.9957031631469726
2,0.9990717017650604
3,0.9840705537796021
4,0.9583535456657409
5,0.9988244318962097
6,0.9984941148757934
7,0.9989674115180969
8,0.9969608926773071
9,0.9987156355381012
10,0.9974855601787567
11,0.9980484616756439
12,0.99888258934021
13,0.995270334482193
14,0.9979870891571045
15,0.9968140208721161
16,0.9988395750522614
17,0.9976883995532989
18,0.998679826259613
19,0.9954500043392182
20,0.9988558542728424
21,0.9993426191806793
22,0.9995676732063293
23,0.9995743763446808
24,0.9984374451637268
25,0.9970581614971161
26,0.7153695422410965
27,0.9954390597343444
