layer,avg_top1_vs_topk
1,0.9992487013339997
2,0.9986216723918915
3,0.9628837192058564
4,0.982414448261261
5,0.9991372668743134
6,0.998724284172058
7,0.99917635679245
8,0.9973249304294586
9,0.9967491614818573
10,0.9986247313022614
11,0.9977135145664215
12,0.9982827246189118
13,0.9931126964092255
14,0.995290435552597
15,0.9957678020000458
16,0.9982269680500031
17,0.9983621430397034
18,0.9971604454517364
19,0.988398209810257
20,0.997600975036621
21,0.9948027467727661
22,0.9853492176532745
23,0.999303947687149
24,0.9989084005355835
25,0.9902397406101227
26,0.9652036169171333
27,0.9562155377864837
