layer,avg_top1_vs_topk
1,0.923841071203351
2,0.9234726423025131
3,0.9792278039455414
4,0.9367686128616333
5,0.9952859151363372
6,0.9987496316432953
7,0.9983174312114715
8,0.9965902030467987
9,0.9991092765331269
10,0.9978624665737152
11,0.9975772416591644
12,0.9993051493167877
13,0.9988412475585937
14,0.9971261084079742
15,0.9977524435520172
16,0.9982194936275482
17,0.9969985890388489
18,0.9983892786502838
19,0.9972493875026703
20,0.9918395268917084
21,0.9968069338798523
22,0.9973242330551148
23,0.9976992464065552
24,0.9932941126823426
25,0.9972586154937744
26,0.8991753044724464
27,0.9356322383880615
