layer,avg_top1_vs_topk
1,0.9986580264568329
2,0.9981802070140838
3,0.9732542443275451
4,0.9756699347496033
5,0.9979998075962067
6,0.9982215344905854
7,0.9965923416614533
8,0.9955331635475159
9,0.9975129675865173
10,0.9980812931060791
11,0.998119262456894
12,0.9966225242614746
13,0.9931711208820343
14,0.993747935295105
15,0.996614545583725
16,0.9906877493858337
17,0.9863790893554687
18,0.9959150624275207
19,0.9930759871006012
20,0.9945438766479492
21,0.9990029883384705
22,0.9973670256137848
23,0.9990199041366578
24,0.9992603135108947
25,0.9887253451347351
26,0.9653578740358353
27,0.9914200150966644
