layer,final_vs_top1,final_vs_topk,top1_vs_topk
1,0.68505859375,0.6852637529373169,1.0002127885818481
2,0.6494140625,0.6485060453414917,1.0000258684158325
3,0.6630859375,0.6632760763168335,1.0003563165664673
4,0.1900634765625,0.3084038496017456,0.9874331951141357
5,0.7822265625,0.7840772271156311,0.999255359172821
6,0.82080078125,0.8216222524642944,0.9990335702896118
7,0.7744140625,0.7785071134567261,0.9986600279808044
8,0.75439453125,0.7592023611068726,0.9987938404083252
9,0.79248046875,0.7927421927452087,1.0000288486480713
10,0.82470703125,0.8254245519638062,0.9994427561759949
11,0.8740234375,0.8742493391036987,0.9993007779121399
12,0.8291015625,0.831398606300354,0.9993738532066345
13,0.8671875,0.872230052947998,0.9993116855621338
14,0.86865234375,0.8699164390563965,0.9992502331733704
15,0.8701171875,0.8708021640777588,0.9976825714111328
16,0.9189453125,0.922748327255249,0.9985775351524353
17,0.900390625,0.9015401601791382,0.9995618462562561
18,0.90087890625,0.906611979007721,0.9961124658584595
19,0.90478515625,0.9182710647583008,0.9955904483795166
20,0.8427734375,0.8432382345199585,0.999636173248291
21,0.9130859375,0.9139362573623657,0.9992836713790894
22,0.89111328125,0.8914843201637268,1.0002291202545166
23,0.89208984375,0.8938380479812622,0.9996376633644104
24,0.90380859375,0.9045909643173218,0.9995065331459045
25,0.90478515625,0.8980585932731628,0.9976669549942017
26,-0.0302581787109375,-0.016377385705709457,1.0000648498535156
27,0.6962890625,0.7146298289299011,0.9888478517532349
