layer,final_vs_top1,final_vs_topk,top1_vs_topk
1,0.6865234375,0.6842838525772095,0.9980514645576477
2,0.67138671875,0.6711368560791016,0.9988532662391663
3,0.58251953125,0.6591678857803345,0.9806007742881775
4,0.1422119140625,0.24365651607513428,0.9916999936103821
5,0.7685546875,0.7722698450088501,0.9984281063079834
6,0.80859375,0.8147521018981934,0.9967403411865234
7,0.79052734375,0.7987781763076782,0.9950321912765503
8,0.7939453125,0.8087233304977417,0.9880215525627136
9,0.8369140625,0.8381211757659912,0.9991108179092407
10,0.84814453125,0.8495513200759888,0.9979466199874878
11,0.8486328125,0.8570443391799927,0.9975963234901428
12,0.8720703125,0.8807525634765625,0.9916753768920898
13,0.83837890625,0.8943689465522766,0.9584697484970093
14,0.89306640625,0.8958945870399475,0.9976508021354675
15,0.90771484375,0.9123992919921875,0.9968621730804443
16,0.87353515625,0.8744587898254395,0.9990879893302917
17,0.89013671875,0.9032901525497437,0.9932938814163208
18,0.9296875,0.931450366973877,0.9989655017852783
19,0.9404296875,0.9397220611572266,0.9980714321136475
20,0.93017578125,0.933530330657959,0.9979479312896729
21,0.939453125,0.937644362449646,0.9956129789352417
22,0.92236328125,0.924488365650177,0.9995038509368896
23,0.94189453125,0.9440100789070129,0.9987438917160034
24,0.90869140625,0.9187164902687073,0.9958839416503906
25,0.9423828125,0.9513305425643921,0.9953115582466125
26,0.01271820068359375,0.0519578754901886,0.9989429116249084
27,0.572265625,0.42730674147605896,0.7282428741455078
