layer,final_vs_top1,final_vs_topk,top1_vs_topk
1,0.64599609375,0.6495038866996765,0.9996401071548462
2,0.66015625,0.6597365736961365,0.9995740056037903
3,0.55419921875,0.6682888269424438,0.9438455104827881
4,0.10833740234375,0.2543542981147766,0.9805269241333008
5,0.7529296875,0.7531042098999023,0.9995276927947998
6,0.765625,0.7659302949905396,0.999354362487793
7,0.78271484375,0.7827461957931519,0.9996401071548462
8,0.80908203125,0.8088370561599731,0.9992958903312683
9,0.79443359375,0.7943284511566162,0.998904824256897
10,0.837890625,0.8402146100997925,0.9988898038864136
11,0.849609375,0.8497997522354126,0.9993796944618225
12,0.869140625,0.8696049451828003,0.9993164539337158
13,0.82177734375,0.8695347905158997,0.9799226522445679
14,0.8779296875,0.8775144815444946,0.9997062683105469
15,0.8857421875,0.8820044994354248,0.9985322952270508
16,0.890625,0.893703281879425,0.9977915287017822
17,0.92724609375,0.927680253982544,1.0000102519989014
18,0.91552734375,0.9158587455749512,0.9997820854187012
19,0.939453125,0.9417082071304321,0.9986938238143921
20,0.9404296875,0.9413678646087646,0.9994030594825745
21,0.85009765625,0.915968120098114,0.977388858795166
22,0.8505859375,0.8702324628829956,0.9850342869758606
23,0.962890625,0.9628100991249084,0.9995452165603638
24,0.93017578125,0.9302652478218079,1.0000271797180176
25,0.8564453125,0.8734142184257507,0.9944829940795898
26,0.80419921875,0.08655377477407455,0.14721480011940002
27,0.72998046875,0.7448545098304749,0.989034116268158
